yyyymm,600381.SH,600446.SH,600155.SH,600228.SH,600330.SH,600192.SH,600566.SH,600200.SH,600539.SH,600398.SH
202007,0.05479452,0.00412371,0.12510425,0.03521779,0.11935807,0.1440678,-0.0054988,0.15525114,0.03623188,0.04639175
202008,-0.0111317,0.03182752,0.00667161,0.05729633,-0.0098566,-0.0240741,-0.0442338,-0.1554677,0.00559441,0.15599343
202009,0.03189493,-0.10199,-0.0817378,-0.0093141,-0.1040724,-0.0740038,-0.0847107,-0.0811232,-0.0069541,-0.1150568
202010,-0.1018182,-0.0177285,-0.0577386,-0.108547,-0.0717172,-0.0184426,-0.0022573,-0.0611205,0.05602241,0.08025682
202011,0.13157895,0.02086858,0.03914894,0.01150527,-0.0065288,0.05010438,-0.0104072,-0.0144665,-0.0557029,-0.0044577
202012,0.54025045,-0.1044199,0.08026208,0.04549763,0.10843373,0.03578529,-0.0749886,-0.012844,0.03230337,-0.041791
202101,-0.2799071,-0.076496,-0.1827142,-0.080689,-0.0079051,-0.1727447,-0.083045,-0.16171,-0.1197279,-0.0420561
202102,-0.1145161,0.03340013,0.06957328,0.12031558,-0.0677291,-0.0904872,0.07008086,0.09090909,-0.0618238,0.08617886
202103,0.12750455,-0.0594699,-0.1257589,0.01320423,-0.1025641,0.03316327,0.00604534,0.11382114,0.15485997,0.07784431
202104,-0.006462,-0.0405498,-0.0803571,-0.0616855,-0.0369048,0.00493827,-0.0345518,0.42153285,0.04850214,0.00555556
202105,0.14471545,0.04727794,0.23300971,-0.1287037,0.09517923,0.04668305,-0.0560166,0.16046213,-0.0285714,-0.0248619
202106,0.10369318,-0.0123119,-0.063867,-0.1020191,0.10722348,0.03286385,-0.0164835,-0.0940265,0.02941176,0.02549575
202107,0.10939511,-0.115651,-0.1252336,-0.1491124,0.15188583,0.02954545,-0.1547486,-0.021978,-0.1142857,-0.0165746
202108,-0.1206497,-0.0321065,0.09722222,0.02503477,0.14424779,0.07284768,0.09715796,-0.1598002,0.03686636,0.05196629
202109,-0.0369393,0.04045307,-0.0613437,-0.0854817,-0.1902552,0.02469136,0.00662651,0.15750371,0.02074074,-0.0614152
202110,-0.1273973,-0.0139969,-0.0425311,-0.0385757,0.29417383,-0.1506024,-0.0359066,-0.1347882,-0.0595065,-0.0697013
202111,0.02982732,0.08911672,0.02816901,0.05555556,0.18228782,0.11820331,0.12290503,0.07863501,0.02623457,-0.0275229
202112,0.28506098,0.03692976,0.04952582,0.01169591,0.01310861,0.2346723,0.56661139,0.17881706,0.22105263,0.00786164
